"filename", "language", "C++", "YAML", "Markdown", "Dart", "Swift", "JSON", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\amrit\Documents\femunity-v2\lib\features\communities\controller\community_controller.dart", "Dart", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 20, 166
"c:\Users\amrit\Documents\femunity-v2\lib\features\communities\repository\community_repository.dart", "Dart", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 14, 144
"c:\Users\amrit\Documents\femunity-v2\lib\features\communities\screens\add_mod_screen.dart", "Dart", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 1, 7, 92
"c:\Users\amrit\Documents\femunity-v2\lib\features\communities\screens\community_screen.dart", "Dart", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 5, 147
"c:\Users\amrit\Documents\femunity-v2\lib\features\communities\screens\create_community_sc.dart", "Dart", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 6, 77
"c:\Users\amrit\Documents\femunity-v2\lib\features\communities\screens\edit_community_screen.dart", "Dart", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 10, 153
"c:\Users\amrit\Documents\femunity-v2\lib\features\communities\screens\mod_tools_screen.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 3, 6, 73
"c:\Users\amrit\Documents\femunity-v2\lib\features\feed\feed_screen.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\amrit\Documents\femunity-v2\lib\features\home\delegates\search_community_delegate.dart", "Dart", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 6, 56
"c:\Users\amrit\Documents\femunity-v2\lib\features\home\drawer\list_of_communities.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 5, 68
"c:\Users\amrit\Documents\femunity-v2\lib\features\home\drawer\profile_drawer.dart", "Dart", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 6, 130
"c:\Users\amrit\Documents\femunity-v2\lib\features\home\home_screen.dart", "Dart", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 11, 105
"c:\Users\amrit\Documents\femunity-v2\lib\features\posts\controller\posts_controller.dart", "Dart", 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 20, 227
"c:\Users\amrit\Documents\femunity-v2\lib\features\posts\repository\posts_repository.dart", "Dart", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 16, 134
"c:\Users\amrit\Documents\femunity-v2\lib\features\posts\screens\add_posts_screen.dart", "Dart", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 4, 78
"c:\Users\amrit\Documents\femunity-v2\lib\features\posts\screens\add_posts_type_screen.dart", "Dart", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 11, 208
"c:\Users\amrit\Documents\femunity-v2\lib\features\posts\screens\comment_screen.dart", "Dart", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 2, 8, 127
"c:\Users\amrit\Documents\femunity-v2\lib\features\posts\widget\comment_card.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 3, 54
